Experiment Number   :       K-Value       :   Sum Squared Error
       0            :          2          :     0.0004874
       1            :          3          :     0.0002322
       2            :          4          :     0.0001410
       3            :          5          :     0.0000964
       4            :          6          :     0.0000717
       5            :          7          :     0.0000558
       6            :          8          :     0.0000459
       7            :          9          :     0.0000385
       8            :         15          :     0.0000164
   
