  Iterations      :     Train Error     :    Learning Rate    :   Activation Function
     6000         :      125.0000       :   0.25   :       sigmoid    
     6000         :      127.0000       :   0.25   :       sigmoid    
     6000         :      729.5000       :   0.25   :        tanh      
     6000         :      234.0000       :   0.25   :        tanh      
     6000         :      234.0000       :   0.25   :        tanh      
     6000         :      238.5000       :   0.25   :        tanh      
     6000         :      132.0000       :   0.25   :        relu      
     6000         :      145.0000       :   0.25   :        relu      
     6000         :      119.0000       :   0.25   :        relu      
     6000         :      136.0000       :   0.25   :        relu      
     6000         :      140.0000       :   0.25   :        relu      
     6000         :      120.0000       :   0.25   :        relu      
     6000         :      120.0000       :   0.25   :        relu      
     6000         :      123.0000       :   0.25   :        relu      
     6000         :      121.5000       :   0.25   :        relu      
     10000        :      124.5000       :   0.25   :       sigmoid    
     10000        :      125.5000       :   0.25   :       sigmoid    
     10000        :      123.0000       :   0.25   :       sigmoid    
     10000        :      119.9979       :   0.25   :       sigmoid    
     10000        :      123.9999       :   0.25   :       sigmoid    
     10000        :      228.5000       :   0.25   :        tanh      
     10000        :      232.5000       :   0.25   :        tanh      
     10000        :      241.5000       :   0.25   :        tanh      
     10000        :      232.0000       :   0.25   :        tanh      
     10000        :      237.0000       :   0.25   :        tanh      
     10000        :      122.0000       :   0.25   :        relu      
     10000        :      155.0000       :   0.25   :        relu      
     10000        :      130.5000       :   0.25   :        relu      
     10000        :      128.0000       :   0.25   :        relu      
     10000        :      132.0000       :   0.25   :        relu      
     10000        :      124.0000       :   0.25   :       sigmoid    
     10000        :      716.0000       :   0.25   :        tanh      
     10000        :      236.0000       :   0.25   :        tanh      
     10000        :      125.0000       :   0.25   :        relu      
     10000        :      125.5000       :   0.25   :       sigmoid    
     10000        :       37.5411       :   0.25   :       sigmoid    
     10000        :       38.0155       :   0.25   :       sigmoid    
     10000        :       37.4914       :   0.25   :       sigmoid    
     10000        :       38.2218       :   0.25   :       sigmoid    
